Word frequency data from http://humanum.arts.cuhk.edu.hk/Lexis/chifreq/
Use Taiwan 80-90's
UTF-8 conversion function:
e.replace(
    /[^\u0000-\u00FF]/g,
    function($0) {
	  return escape($0).replace(/(%u)(\w{4})/gi,"&#x$2;")
	})

1-10
的 7684
一 4E00
是 662F
人 4EBA
在 5728
不 4E0D
有 6709
中 4E2D
上 4E0A
了 4E86

11-20
來 4F86
大 5927
到 5230
這 9019
為 70BA
過 904E
以 4EE5
個 500B
而 800C
也 4E5F

21-30
可 53EF
時 6642
就 5C31
於 65BC
生 751F
出 51FA
成 6210
得 5F97
下 4E0B
後 5F8C

31-40
會 6703
要 8981
之 4E4B
對 5C0D
多 591A
自 81EA
都 90FD
年 5E74
無 7121
我 6211

41-50
然 7136
如 5982
他 4ED6
當 7576
前 524D
地 5730
能 80FD
說 8AAA
心 5FC3
所 6240

51-60
現 73FE
但 4F46
去 53BB
們 5011
意 610F
發 767C
家 5BB6
實 5BE6
因 56E0
事 4E8B

61-70
經 7D93
和 548C
開 958B
與 8207
只 53EA
已 5DF2
日 65E5
同 540C
分 5206
最 6700

71-80
此 6B64
方 65B9
面 9762
著 8457
起 8D77
想 60F3
間 9593
重 91CD
天 5929
情 60C5

81-90
種 7A2E
行 884C
外 5916
十 5341
其 5176
好 597D
從 5F9E
子 5B50
作 4F5C
動 52D5

91-100
些 4E9B
小 5C0F
那 90A3
看 770B
用 7528
正 6B63
三 4E09
還 9084
道 9053
再 518D

101-110
理 7406
長 9577
國 570B
知 77E5
高 9AD8
明 660E
又 53C8
進 9032
相 76F8
更 66F4

111-120
兩 5169
麼 9EBC
本 672C
沒 6C92
卻 537B
法 6CD5
定 5B9A
樣 6A23
使 4F7F
者 8005

121-130
力 529B
才 624D
二 4E8C
由 7531
或 6216
等 7B49
點 9EDE
見 898B
全 5168
至 81F3

131-140
果 679C
真 771F
代 4EE3
問 554F
何 4F55
學 5B78
關 95DC
美 7F8E
世 4E16
新 65B0

141-150
處 8655
入 5165
並 4E26
感 611F
應 61C9
很 5F88
身 8EAB
次 6B21
受 53D7
